video_id,publish_date,title,desc,video_views,likes,dislikes,favs,comments,duration
Ysutl1X7K4I,2021-06-18T15:00:11Z,BELESSSCI TAYFA BURDA MISIN? Ben burdayim sizi bekliyorum,Hediye kazanmak için yapmanız gerekenler; https://gleam.io/MF2ev/hediye-paketi ▻Instagram: https://www.instagram.com/danlabilic/ ▻Twitter: ...,724565,43458,2079,0,2742,PT20M10S
OPpCf7tjCwY,2021-06-11T15:00:11Z,2 aydır biriken tüm hediyeler sizin! (bugüne kadar en iyisiydi),Hediye kazanmak için yapmanız gerekenler; https://gleam.io/MF2ev/hediye-paketi ▻Instagram: https://www.instagram.com/danlabilic/ ▻Twitter: ...,1303341,75107,5861,0,7777,PT26M25S
T2jt1ScChGg,2021-06-04T15:00:11Z,Ekrani yukari kaydirmaktan biktiniz mi? Surekli link veren BIZLER hakkinda hersey 🤪,Takı: https://ty.gl/btdzw9t8x Kıyafet: https://ty.gl/kdotfrsaz Cilt Bakımı: https://ty.gl/aplhqzjn1 Mutfak: https://ty.gl/h0fdqfbyi Bikini: https://ty.gl/qjgfhjy Dekor: ...,1241653,65249,10281,0,4620,PT19M23S
5vx0OPT9F1E,2021-05-28T15:00:13Z,"Nerdeydim? Miami&#39;de corona seruvenim, sevgilimle nasil tanistim, yeni dev studyo!",Bahsettiğim ürünler; Mobil App linki: https://ty.gl/v9wjviux Web linki: https://ty.gl/pwr15op ▻Instagram: https://www.instagram.com/danlabilic ▻Twitter: ...,2114390,79582,14295,0,4779,PT27M46S
HNgJwscatgY,2021-03-21T13:00:10Z,Efe ile Soru Kartlarıyla Ruh Eşimizi Arıyoruz! (ben buldum gibi darısı başına 😅 ),Uygulamayı denemek için buraya bakabilirsiniz; https://okcupid.onelink.me/godV/903344b7 ▻ Instagram: https://www.instagram.com/okcupidtr/ ▻Instagram: ...,867012,30041,2240,0,1942,PT35M33S
BE9jpLPb1iw,2021-03-12T23:00:07Z,Rockcı Serpil Makyajı,Uygulamayı incelemek isterseniz buradan bakabilirsiniz. https://mrandmsbeauty.com/links/ ▻Instagram: https://www.instagram.com/danlabilic/ ▻Twitter: ...,763475,37515,4556,0,3683,PT26M47S
MII7wPA6GZc,2021-01-31T11:00:12Z,MasterChef Emir ile Düğün Pastası Yaptık! (Öyle istedi),Instagram: https://www.instagram.com/danlabilic/ ▻Twitter: https://twitter.com/danlabilic ▻discord kanalıma katılabilirsiniz: https://discord.gg/7YBRApGX ...,1359405,53821,4113,0,3493,PT39M10S
cg0aqMSTyyQ,2021-01-23T16:00:10Z,Head&amp;Shoulders reklam cekimi vlog 💙 (Kaç saat sürdü ben inanamadım),"Hello Çok eğlendiğim, çok yorulduğum ve beni çook mutlu eden bu projede yanımda olduğunuz için size ne kadar teşekkür etsem az. Birlikte nice başarılara ...",1047321,43289,3914,0,2285,PT19M38S
_fqtJ75hwbM,2021-01-08T15:00:11Z,Somer Şef ile imam bayıldı yaptık! (İmam gercekten bayılmış olabilir),Instagram: https://www.instagram.com/danlabilic/ ▻Twitter: https://twitter.com/danlabilic ▻Kampa gittim vlog (gitmez olaydim) https://youtu.be/719LwscBe1Y ...,1303678,44993,1955,0,3132,PT46M35S
6XBOTq7txPM,2020-12-31T21:00:05Z,2021 müthiş kalabalık eğlenceli coronalı yeni yıl PARTYSI 🎅♥️,Sizin için hazırladığım linkler; https://ty.gl/8a9bc02 - https://ty.gl/yabienz ▻Instagram: https://www.instagram.com/danlabilic/ ▻Twitter: https://twitter.com/danlabilic ...,1176309,40559,7209,0,2551,PT32M38S
FPnqeFl_FGU,2020-12-25T15:00:03Z,MasterChef Furkan&#39;a browni yapmayı öğrettim! (Öğretemedim),Instagram: https://www.instagram.com/danlabilic/ ▻Twitter: https://twitter.com/danlabilic Furkan'ın kanalı: ...,1869975,70445,3200,0,4330,PT44M35S
